	id	name	Q1	Q2	Q3
0	-1	Northern Cyprus	0	0	0
1	-2	Kosovo	0	0	0
2	-3	Somaliland	0	0	0
3	4	Afghanistan	0	0	0
4	8	Albania	0	0	0
5	10	Antarctica	0	0	0
6	12	Algeria	0	0	0
7	16	American Samoa	0	0	0
8	20	Andorra	0	0	0
9	24	Angola	0	0	0
10	28	Antigua and Barbuda	0	0	0
11	31	Azerbaijan	0	0	0
12	32	Argentina	-4.110561548	-16.007677409	12.76120409
13	36	Australia	-0.279320053	-7.027382636	3.328123983
14	40	Austria	-2.766996016	-11.567637769	11.964897099
15	44	Bahamas	0	0	0
16	48	Bahrain	0	0	0
17	50	Bangladesh	0	0	0
18	51	Armenia	0	0	0
19	52	Barbados	0	0	0
20	56	Belgium	-3.416970477	-11.817223003	11.441011383
21	60	Bermuda	0	0	0
22	64	Bhutan	0	0	0
23	68	Bolivia, Plurinational State of	0	0	0
24	70	Bosnia and Herzegovina	0	0	0
25	72	Botswana	0	0	0
26	74	Bouvet Island	0	0	0
27	76	Brazil	-1.545879168	-9.599817806	7.707789052
28	84	Belize	0	0	0
29	86	British Indian Ocean Territory	0	0	0
30	90	Solomon Islands	0	0	0
31	92	Virgin Islands, British	0	0	0
32	96	Brunei Darussalam	0	0	0
33	100	Bulgaria	0.445050608	-10.069032243	4.281045762
34	104	Myanmar	0	0	0
35	108	Burundi	0	0	0
36	112	Belarus	0	0	0
37	116	Cambodia	0	0	0
38	120	Cameroon	0	0	0
39	124	Canada	-1.87241647	-11.314573725	8.874858409
40	132	Cape Verde	0	0	0
41	136	Cayman Islands	0	0	0
42	140	Central African Republic	0	0	0
43	144	Sri Lanka	0	0	0
44	148	Chad	0	0	0
45	152	Chile	2.968463318	-13.468095999	5.222944289
46	156	China	-10	11.7	2.7
47	158	Taiwan, Province of China	0	0	0
48	162	Christmas Island	0	0	0
49	166	Cocos (Keeling) Islands	0	0	0
50	170	Colombia	-1.380323028	-16.104953772	8.707209073
51	174	Comoros	0	0	0
52	175	Mayotte	0	0	0
53	178	Congo	0	0	0
54	180	Congo, the Democratic Republic of the	0	0	0
55	184	Cook Islands	0	0	0
56	188	Costa Rica	0	0	0
57	191	Croatia	0	0	0
58	192	Cuba	0	0	0
59	196	Cyprus	0	0	0
60	203	Czech Republic	-3.300064307	-8.482285206	6.924278719
61	204	Benin	0	0	0
62	208	Denmark	-1.648087256	-7.0153227	4.899527658
63	212	Dominica	0	0	0
64	214	Dominican Republic	0	0	0
65	218	Ecuador	0	0	0
66	222	El Salvador	0	0	0
67	226	Equatorial Guinea	0	0	0
68	231	Ethiopia	0	0	0
69	232	Eritrea	0	0	0
70	233	Estonia	-0.820471658	-5.493447446	3.255995705
71	234	Faroe Islands	0	0	0
72	238	Falkland Islands (Malvinas)	0	0	0
73	239	South Georgia and the South Sandwich Islands	0	0	0
74	242	Fiji	0	0	0
75	246	Finland	-1.50679324	-3.89091197	3.272105762
76	248	Åland Islands	0	0	0
77	250	France	-5.894380657	-13.789130228	18.667076819
78	254	French Guiana	0	0	0
79	258	French Polynesia	0	0	0
