	id	name	Q1	Q2	Q3	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12
0	-1	Northern Cyprus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	-2	Kosovo	0	0	0	0	0	106	799	1070	2799	8330	13454	15620	19328	39596	49440
2	-3	Somaliland	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	4	Afghanistan	0	0	0	0	1	175	2127	15208	31507	36665	38159	39268	41425	46274	50433
4	8	Albania	0	0	0	0	0	243	773	1137	2535	5276	9513	13649	20875	38182	54317
5	10	Antarctica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	12	Algeria	0	0	0	0	1	716	4006	9394	13907	30394	44494	51530	57942	83199	96549
7	16	American Samoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	20	Andorra	0	0	0	0	0	376	745	764	855	925	1176	2050	4756	6745	7669
9	24	Angola	0	0	0	0	0	7	27	86	284	1148	2654	4972	10805	15139	16931
10	28	Antigua and Barbuda	0	0	0	0	0	7	24	26	69	91	94	101	128	141	154
11	31	Azerbaijan	0	0	0	0	0	298	1804	5494	17524	31878	36435	40229	55269	121176	208211
12	32	Argentina	-4.110561548	-16.007677409	12.76120409	0	0	1054	4428	16851	64530	191302	417735	751001	1166924	1424533	1563865
13	36	Australia	-0.279320053	-7.027382636	3.328123983	9	25	4559	6766	7202	7920	17280	25819	27096	27595	27912	28262
14	40	Austria	-2.766996016	-11.567637769	11.964897099	0	9	10180	15452	16731	17766	21130	27438	44813	104925	282456	344357
15	44	Bahamas	0	0	0	0	0	14	81	102	104	574	2217	4123	6714	7541	7788
16	48	Bahrain	0	0	0	0	41	567	3040	11398	26758	40982	51972	70864	81645	86956	90817
17	50	Bangladesh	0	0	0	0	0	51	7667	47153	145483	237661	312996	363479	407684	464932	504868
18	51	Armenia	0	0	0	0	0	532	2066	9282	25542	38550	43781	50359	89813	135124	155440
19	52	Barbados	0	0	0	0	0	34	81	92	97	110	174	190	237	276	329
20	56	Belgium	-3.416970477	-11.817223003	11.441011383	0	1	12775	48519	58381	61427	68751	85236	118452	429229	577345	632321
21	60	Bermuda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	64	Bhutan	0	0	0	0	0	4	7	43	77	101	225	282	349	410	519
23	68	Bolivia, Plurinational State of	0	0	0	0	0	107	1167	9982	33219	76789	116598	135311	141757	144708	152064
24	70	Bosnia and Herzegovina	0	0	0	0	0	420	1757	2510	4453	11876	19964	27469	50090	87901	107570
25	72	Botswana	0	0	0	0	0	4	23	35	227	804	1633	3172	6642	10742	13622
26	74	Bouvet Island	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	76	Brazil	-1.545879168	-9.599817806	7.707789052	0	2	5717	87187	514849	1402041	2662485	3908272	4810935	5535605	6335878	7365517
28	84	Belize	0	0	0	0	0	3	18	18	24	48	1007	1992	3487	5854	10370
